F:\Valentino\Progetti_da_buildare_2\groovy-sandbox0cd7ec12b7c56cfa3167d99c5f43147ce05449d3\pom.xml0cd7ec12b7c56cfa3167d99c5f43147ce05449d3;1.7
F:\Valentino\Progetti_da_buildare_2\spring-framework75e08695a04980dbceae6789364717e9d8764d58\pom.xml75e08695a04980dbceae6789364717e9d8764d58;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\kafka9f3468645b968761ca9141d18337cb6adadbae9\pom.xml9f3468645b968761ca9141d18337cb6adadbae9;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\struts1-forever212bb0f7c57617b7b9c44cb1e056bd1e597c8e16\pom.xml212bb0f7c57617b7b9c44cb1e056bd1e597c8e16;1.4
F:\Valentino\Progetti_da_buildare_2\jackson-databind7487cf7eb14be2f65a1eb108e8629c07ef45e0a\pom.xml7487cf7eb14be2f65a1eb108e8629c07ef45e0a;non trovata
F:\Valentino\Progetti_da_buildare_2\uaaa1d523c7f150e56bf06df8b83ed1d416d6c1d3b\pom.xmla1d523c7f150e56bf06df8b83ed1d416d6c1d3b;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\httpcomponents-client51cc67567765d67f878f0dcef61b5ded454d3122\pom.xml51cc67567765d67f878f0dcef61b5ded454d3122;1.5
F:\Valentino\Progetti_da_buildare_2\struts2306f5f7fad7f0157f216f34331238feb0539fa\pom.xml2306f5f7fad7f0157f216f34331238feb0539fa;non trovata
F:\Valentino\Progetti_da_buildare_2\depgraph-view-plugind442ff671965c279770b28e37dc63a6ab73c0f0e\pom.xmld442ff671965c279770b28e37dc63a6ab73c0f0e;non trovata
F:\Valentino\Progetti_da_buildare_2\uaa3633a832885ebf33b2e22cc1c0c8ce605e2c657\pom.xml3633a832885ebf33b2e22cc1c0c8ce605e2c657;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\commons-collections3eee44cf63b1ebb0da6925e98b3dcc6ef1e4d610\pom.xml3eee44cf63b1ebb0da6925e98b3dcc6ef1e4d610;1.6
F:\Valentino\Progetti_da_buildare_2\tomcat1d372c881eafd9ffe729996f8560fd5fe50cd39d\pom.xml1d372c881eafd9ffe729996f8560fd5fe50cd39d;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\jackson-databind038b471e2efde2e8f96b4e0be958d3e5a1ff1d0\pom.xml038b471e2efde2e8f96b4e0be958d3e5a1ff1d0;non trovata
F:\Valentino\Progetti_da_buildare_2\struts9cad25f258bb2629d263f828574d2671366c238d\pom.xml9cad25f258bb2629d263f828574d2671366c238d;non trovata
F:\Valentino\Progetti_da_buildare_2\struts744c1f409d983641af3e8e3b573c2f2d2c2c6d9\pom.xml744c1f409d983641af3e8e3b573c2f2d2c2c6d9;non trovata
F:\Valentino\Progetti_da_buildare_2\commons-compress1ce57d976c4f25fe99edcadf079840c278f3cb84\pom.xml1ce57d976c4f25fe99edcadf079840c278f3cb84;non trovata
F:\Valentino\Progetti_da_buildare_2\tomcat89cd0cf33a99dbbcf5c69050a83b6876e39269d7\pom.xml89cd0cf33a99dbbcf5c69050a83b6876e39269d7;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\subversion-plugin25f6afbb02a5863f363b0a2f664ac717ace743b4\pom.xml25f6afbb02a5863f363b0a2f664ac717ace743b4;non trovata
F:\Valentino\Progetti_da_buildare_2\spring-framework5a711c05ec750f069235597173084c2ee796242\pom.xml5a711c05ec750f069235597173084c2ee796242;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\jackson-databindddfddfba6414adbecaff99684ef66eebd3a92e92\pom.xmlddfddfba6414adbecaff99684ef66eebd3a92e92;non trovata
F:\Valentino\Progetti_da_buildare_2\struts58947c3f85ae641c1a476316a2888e53605948d1\pom.xml58947c3f85ae641c1a476316a2888e53605948d1;non trovata
F:\Valentino\Progetti_da_buildare_2\strutsfc2179cf1ac9fbfb61e3430fa88b641d87253327\pom.xmlfc2179cf1ac9fbfb61e3430fa88b641d87253327;non trovata
F:\Valentino\Progetti_da_buildare_2\uaa5eb43757d5a3a2c9e7aae1ef3d0b9b7e2a38851e\pom.xml5eb43757d5a3a2c9e7aae1ef3d0b9b7e2a38851e;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\httpcomponents-clientd954cd287dfcdad8f153e61181e20d253175ca8c\pom.xmld954cd287dfcdad8f153e61181e20d253175ca8c;1.5
F:\Valentino\Progetti_da_buildare_2\spring-framework246a6db1cad205ca9b6fca00c544ab7443ba202\pom.xml246a6db1cad205ca9b6fca00c544ab7443ba202;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\uaa4f942064d85454a4bcc4da04cd482d114816c14a\pom.xml4f942064d85454a4bcc4da04cd482d114816c14a;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\commons-collectionsd9a00134f16d685bea11b2b12de824845e6473e3\pom.xmld9a00134f16d685bea11b2b12de824845e6473e3;non trovata
F:\Valentino\Progetti_da_buildare_2\struts27ca165ddbf81c84bafbd083b99a18d89cc49ca7\pom.xml27ca165ddbf81c84bafbd083b99a18d89cc49ca7;non trovata
F:\Valentino\Progetti_da_buildare_2\esapi-java-legacyb7cbc53f9cc967cf1a5a9463d8c6fef9ed6ef4f7\pom.xmlb7cbc53f9cc967cf1a5a9463d8c6fef9ed6ef4f7;1.6
F:\Valentino\Progetti_da_buildare_2\tomcat0e83ad3e547fc9a75a258799ef581249b40a82a6\pom.xml0e83ad3e547fc9a75a258799ef581249b40a82a6;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\uaa1e2a746968cdac5b53164ca8955646e4257ecc7\pom.xml1e2a746968cdac5b53164ca8955646e4257ecc7;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\spring-frameworkdc5b5ca8ee09c890352f89b2dae58bc0132d6545\pom.xmldc5b5ca8ee09c890352f89b2dae58bc0132d6545;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\spring-data-rest824e51a1304bbc8334ac0b96ffaef588177e6cc\pom.xml824e51a1304bbc8334ac0b96ffaef588177e6cc;non trovata
F:\Valentino\Progetti_da_buildare_2\tomcat04164c1f01b973e548d95511d417f414ca723cb8\pom.xml04164c1f01b973e548d95511d417f414ca723cb8;non esiste il pom
