Project;Fix Commit;Compilable;Version;Command;;;Summary;;;;Etichette di riga;Conteggio di Si/No;Conteggio % di Si/No
https://github.com/apache/tomcat;8884dae60ace77a87ed9385442ce429e98c3a479;Si;JDK 17;ant compile;;;;;;;https://github.com/narkisr/nmap4j;1;0,22%
https://github.com/apache/tomcat;e28dd578fad90a6d5726ec34f3245c9f99d909a5;No;JDK 17;ant compile;;;;;;;Si;1;100,00%
https://github.com/apache/tomcat;8fa210147ffd98e8971cba56395726cc4a893ad7;No;JDK 17;ant compile;;;;;;;https://github.com/netty/netty;4;0,89%
https://github.com/apache/tomcat;4d637bc3986e5d09b9363e2144b8ba74fa6eac3a;No;JDK 17;ant compile;;;;;;;No;4;100,00%
https://github.com/apache/tomcat;0ff4905158b77787a7f3aca55c9dec93456665dc;No;JDK 17;ant compile;;;;;;;https://github.com/OpenRefine/OpenRefine;2;0,44%
https://github.com/apache/tomcat;a6b1ebc246b91b854237e5aad3dfd2b5460ea282;No;JDK 17;ant compile;;;;;;;No;2;100,00%
https://github.com/apache/tomcat;83679b99cd40caa401d173c8f8e72fc98eb5d5be;No;JDK 17;ant compile;;;;;;;https://github.com/orientechnologies/orientdb;1;0,22%
https://github.com/apache/tomcat;ff8789737a0a64c12d68929497f16d8021052048;No;JDK 17;ant compile;;;;;;;No;1;100,00%
https://github.com/apache/tomcat;58223c5ecc0751c3642c810f291b8f033d33b97f;No;JDK 17;ant compile;;;;;;;https://github.com/pgjdbc/pgjdbc;1;0,22%
https://github.com/apache/tomcat;2e69497fa7b1444632c6dadb64a4a82e18478ee6;No;JDK 17;ant compile;;;;;;;No;1;100,00%
https://github.com/apache/tomcat;fb3569fbb9a2f55459aa8e1e22bc35a737e66329;No;JDK 17;ant compile;;;;;;;https://github.com/pingidentity/ldapsdk;1;0,22%
https://github.com/apache/tomcat;1d372c881eafd9ffe729996f8560fd5fe50cd39d;No;JDK 17;ant compile;;;;;;;No;1;100,00%
https://github.com/apache/tomcat;b7b5c63a932f6c1ea05f9b65ad9054247bb5af57;No;JDK 17;ant compile;;;;;;;https://github.com/qos-ch/logback;1;0,22%
https://github.com/apache/tomcat;279e4451cb996f810fbca2f78b6340412d9daa7b;No;JDK 17;ant compile;;;;;;;No;1;100,00%
https://github.com/apache/tomcat;c584c7c4ab0686e4125eefcd0afb32fb8269da3d;No;JDK 17;ant compile;;;;;;;https://github.com/ronsigal/Resteasy;1;0,22%
https://github.com/apache/tomcat;5aae1323c31d643afa9f2db80713b8e97b5123af;No;JDK 17;ant compile;;;;;;;No;1;100,00%
https://github.com/apache/tomcat;bcce3e4997a4ed06fe03e2517443f3ad8ade2dfa;No;JDK 17;ant compile;;;;;;;https://github.com/sebfz1/wicket-jquery-ui;12;2,67%
https://github.com/apache/tomcat;49c71fc59c1b8f8da77aea9eb53e61db168aebab;No;JDK 17;ant compile;;;;;;;No;12;100,00%
https://github.com/apache/tomcat;fffd63a3bd3a5475379b7c074820a5463b7663b3;Si;JDK 17;ant compile;;;;;;;https://github.com/SonarSource/sonarqube;1;0,22%
https://github.com/apache/tomcat;0e83ad3e547fc9a75a258799ef581249b40a82a6;No;JDK 17;ant compile;;;;;;;No;1;100,00%
https://github.com/apache/tomcat;079372fc7bac8e2e378942715c9ce26a4a72c07a;No;JDK 17;ant compile;;;;;;;https://github.com/spring-projects/spring-amqp;8;1,78%
https://github.com/apache/tomcat;2d7dbfe4c63a4242a9b28fdb662d91ceb7a84630;No;JDK 17;ant compile;;;;;;;No;6;75,00%
https://github.com/apache/tomcat;3e1010b1a2f648581fac3d68afbf18f2979f6bf6;No;JDK 17;ant compile;;;;;;;Si;2;25,00%
https://github.com/apache/tomcat;50f1b1da794cd93b70ab5456d3c2c984408e1506;No;JDK 17;ant compile;;;;;;;https://github.com/spring-projects/spring-data-commons;4;0,89%
https://github.com/apache/tomcat;fb65c5fe6d298195beee11324416a975bea6d701;No;JDK 17;ant compile;;;;;;;No;4;100,00%
https://github.com/apache/tomcat;81bb49ad58fc7b1177a86ba82abf0271d07ceeb7;No;JDK 17;ant compile;;;;;;;https://github.com/spring-projects/spring-data-rest;2;0,44%
https://github.com/apache/tomcat;7d93527254d9e9371b342800617f20d13c8b85ad;No;JDK 17;ant compile;;;;;;;No;2;100,00%
https://github.com/apache/tomcat;2859ac3eae132383cb6f3f2042e25d7a4a281b0d;No;JDK 17;ant compile;;;;;;;https://github.com/spring-projects/spring-framework;52;11,56%
https://github.com/apache/tomcat;c1357e649641844109711d60cacb98e4b5fcd3cb;No;JDK 17;ant compile;;;;;;;No;43;82,69%
https://github.com/apache/tomcat;30af3f5630542a2340781f66553e734a6fd69701;No;JDK 17;ant compile;;;;;;;Si;9;17,31%
https://github.com/apache/tomcat;d2e8f2ede7dea39f75f68384f331f38f094e4ed3;No;JDK 17;ant compile;;;;;;;https://github.com/spring-projects/spring-integration;1;0,22%
https://github.com/apache/tomcat;f603f2f4595073f9490e01699d2083112a7c09a7;No;JDK 17;ant compile;;;;;;;No;1;100,00%
